mobleyID,pol,psa,n_donors,nrotb,group_id,dG_exp,n_acceptors,logP
mobley_7532833,-0.08723575606222739,0.5685235764224948,-0.642557364597716,-1.1108400313792317,7.0,-3.88,0.10793553819079023,-0.9376393086851915
mobley_2198613,1.2800564835933146,-1.2630761375714548,-0.642557364597716,-1.1108400313792317,4.0,-0.63,-1.2552693862452016,-0.4576182379716121
mobley_9257453,-0.29794164553374436,0.4515064940762741,1.536874852881657,-1.1108400313792317,5.0,-7.29,0.10793553819079023,0.5181691207578321
mobley_755351,-0.7458874110134458,0.8706720620377958,1.536874852881657,0.09298346407935455,5.0,-7.29,0.7694782383247957,-0.43594004023658145
mobley_9729792,0.6843538608570513,-1.2630761375714548,-0.642557364597716,-1.1108400313792317,8.0,-0.99,-1.2552693862452016,0.08843073036340102
mobley_7203421,-0.836562345888118,1.0352563710202471,1.536874852881657,1.2548555160033121,7.0,-9.31,0.10793553819079023,-0.5872176182389315
mobley_3167746,2.1180965860956436,-1.2630761375714548,-0.642557364597716,1.4401079617407135,4.0,2.88,-1.2552693862452016,0.9663641810505101
mobley_1967551,-0.26846853056711273,0.3335261840950065,-0.642557364597716,-1.1108400313792317,1.0,-3.5,0.10793553819079023,-1.1555488207783724
mobley_6522117,-3.5645436947105416,1.0672191443483867,-0.642557364597716,1.7066643047050067,5.0,-7.07,1.483894475203765,2.551288761585336
mobley_6353617,-1.0236080406586727,0.7425398807626523,-0.642557364597716,0.09298346407935455,5.0,-8.26,0.7694782383247957,-0.43137620913446983
mobley_547634,0.27299746079571585,-1.2630761375714548,-0.642557364597716,-1.1108400313792317,5.0,-2.78,-1.2552693862452016,1.0266604437289977
mobley_3968043,-0.09762578495603802,0.3335261840950065,-0.642557364597716,-1.1108400313792317,1.0,-4.7,0.10793553819079023,-0.5352033667075113
mobley_5631798,-0.588567126585908,0.8649681942321086,1.536874852881657,-1.1108400313792317,8.0,-4.29,0.10793553819079023,-1.1845425713094353
mobley_7463408,-0.7559636139554183,0.7200664348622694,1.536874852881657,0.6590476294837116,5.0,-7.78,0.10793553819079023,0.9496525053971889
mobley_4603202,-0.06817184128134023,-0.054705421602073444,-0.642557364597716,1.2548555160033121,8.0,-4.23,0.10793553819079023,-0.299562028479361
mobley_2328633,2.082595507296851,-1.2630761375714548,-0.642557364597716,1.2548555160033121,6.0,2.55,-1.2552693862452016,1.2281804329525368
mobley_9460824,-1.5005410544222015,0.38732032910098085,-0.642557364597716,1.8073796313645762,8.0,-4.37,1.710499806213434,1.2085828052787633
mobley_1424265,0.6980750361452442,-1.2630761375714548,-0.642557364597716,-1.1108400313792317,5.0,-0.83,-1.2552693862452016,0.252688380941463
mobley_242480,-1.664286200378921,1.659591927353666,1.6847862533744447,-1.1108400313792317,5.0,-11.85,1.483894475203765,-0.2017081204370246
mobley_994483,1.193836907405077,-1.2630761375714548,-0.642557364597716,-1.1108400313792317,4.0,-0.74,-1.2552693862452016,-0.3528514681128418
mobley_6714389,-0.18644700964829772,0.635077180338356,1.536874852881657,-1.1108400313792317,8.0,-4.55,0.10793553819079023,-1.5785756948461684
mobley_2451097,-0.20079002449352107,0.5685235764224948,-0.642557364597716,-1.1108400313792317,5.0,-4.1,0.10793553819079023,-0.24742696965406116
mobley_313406,0.045456759288574934,0.4515064940762741,1.536874852881657,0.09298346407935455,0.0,-4.85,0.10793553819079023,-1.0323924961846227
mobley_2364370,-0.3430961589820793,0.6431173759639041,-0.642557364597716,1.00925637645273,3.0,-2.64,0.7694782383247957,-0.3874828923582778
mobley_5538249,0.3848952226972065,-1.2630761375714548,-0.642557364597716,0.09298346407935455,5.0,-2.16,-1.2552693862452016,2.2730964098463193
mobley_7066554,-0.3697289754141838,0.4515064940762741,1.536874852881657,-1.1108400313792317,5.0,-7.03,0.10793553819079023,0.07963864397550986
mobley_2913224,-1.335032403499949,1.3748914959483935,1.536874852881657,0.6590476294837116,5.0,-9.94,1.1868964296043982,-0.41399338184848544
mobley_5852491,2.0575196229976735,-1.2630761375714548,-0.642557364597716,-1.1108400313792317,6.0,1.59,-1.2552693862452016,0.1809154253444298
mobley_5747188,0.09159149590522823,1.1506393373992443,-0.642557364597716,0.09298346407935455,5.0,-3.58,1.1868964296043982,-0.08719622887198025
mobley_6359156,0.29037127603641816,-1.2630761375714548,-0.642557364597716,0.09298346407935455,5.0,-2.46,-1.2552693862452016,1.8345659330639965
mobley_7794077,-1.9158318552071893,1.4047710009322996,1.6847862533744447,-1.1108400313792317,8.0,-15.46,0.7694782383247957,-1.2382347019225142
mobley_7227357,0.2758127199061509,0.4515064940762741,1.536874852881657,0.6590476294837116,0.0,-4.35,0.10793553819079023,-0.5098338349928315
mobley_7599023,0.5088116295007051,-1.2630761375714548,-0.642557364597716,-1.1108400313792317,5.0,-1.46,-1.2552693862452016,0.3504483277552268
mobley_3976574,0.42603306260998164,0.38732032910098085,-0.642557364597716,-1.1108400313792317,5.0,-4.15,0.7694782383247957,3.3051933905562287
mobley_4434915,1.0999365181548597,-1.2630761375714548,-0.642557364597716,-1.1108400313792317,4.0,-0.55,-1.2552693862452016,-0.7194344898736386
mobley_4252724,0.7410518482473999,-1.2630761375714548,-0.642557364597716,0.6590476294837116,5.0,0.16,-1.2552693862452016,0.6430704395965078
mobley_8525830,0.6947022069870584,-1.2630761375714548,-0.642557364597716,1.00925637645273,4.0,-0.14,-1.2552693862452016,0.4595104680630438
mobley_1323538,-3.632764026128763,1.0672191443483867,-0.642557364597716,1.586687728158307,8.0,-7.5,1.483894475203765,0.18594906258940555
mobley_3259411,-1.198826747890333,1.3325628190800956,1.713378345899499,0.6590476294837116,8.0,-13.43,1.1868964296043982,-2.412817174246883
mobley_1858644,-0.3927556859289109,0.4515064940762741,1.536874852881657,0.6590476294837116,5.0,-6.79,0.10793553819079023,-0.47352453166573694
mobley_7375018,-0.11356225539683894,0.3335261840950065,-0.642557364597716,1.8073796313645762,1.0,-2.15,0.10793553819079023,1.2007974463398663
mobley_4375719,2.121492964813025,-1.2630761375714548,-0.642557364597716,1.586687728158307,4.0,3.13,-1.2552693862452016,1.2281804329525368
mobley_7364468,-0.20736136943690014,0.3335261840950065,-0.642557364597716,-1.1108400313792317,8.0,-5.18,0.10793553819079023,0.2650107249171649
mobley_1199854,0.6623986810159985,-1.2630761375714548,-0.642557364597716,0.09298346407935455,4.0,-0.53,-1.2552693862452016,-0.06412203574100966
mobley_2178600,1.5799600012916901,-1.2630761375714548,-0.642557364597716,1.00925637645273,4.0,-0.1,-1.2552693862452016,0.32783051773446753
mobley_3325209,-0.6207438021759376,0.6820741257515789,-0.642557364597716,1.2548555160033121,5.0,-4.04,1.1868964296043982,-0.1280827863338401
mobley_3639400,1.4446592265873754,-1.2630761375714548,-0.642557364597716,0.6590476294837116,4.0,-0.16,-1.2552693862452016,0.06601426583244063
mobley_7769613,1.755817161828873,-1.2630761375714548,-0.642557364597716,-1.1108400313792317,4.0,0.84,-1.2552693862452016,0.16970719307894946
